TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
2,108,25,0,0,2,0,957023,15-09-2023 00:00,
2,108,27,0,0,2,0,957024,15-09-2023 00:00,
2,108,33,0,0,2,0,957025,15-09-2023 00:00,
2,108,34,0,0,2,0,957026,15-09-2023 00:00,
2,108,35,0,0,2,0,957027,15-09-2023 00:00,
2,108,37,0,0,2,0,957028,15-09-2023 00:00,
2,108,39,0,0,2,0,957029,15-09-2023 00:00,
2,108,41,0,0,2,0,957030,15-09-2023 00:00,
2,108,44,0,0,2,0,957031,15-09-2023 00:00,
2,108,48,0,0,2,0,957032,15-09-2023 00:00,
2,108,50,0,0,2,0,957034,15-09-2023 00:00,
2,108,51,9000,0,2,0,938525,15-09-2023 00:00,
2,108,52,13000,0,2,0,938524,15-09-2023 00:00,
2,108,62,0,0,2,0,957033,15-09-2023 00:00,
2,108,99,10624.99,0,2,0,938522,15-09-2023 00:00,
2,109,1,6400,0,2,zemy,9,05-08-2023 00:00,
2,109,3,0,0,2,0,957035,15-09-2023 00:00,
2,109,4,30,0,2,0,937681,15-09-2023 00:00,
2,109,5,6400,0,2,0,937682,15-09-2023 00:00,
2,109,8,1600,0,2,zemy,1716,05-08-2023 00:00,
2,109,11,0,0,2,0,957036,15-09-2023 00:00,
2,109,13,0,0,2,0,957037,15-09-2023 00:00,
2,109,15,0,0,2,0,957038,15-09-2023 00:00,
2,109,17,0,0,2,0,957039,15-09-2023 00:00,
2,109,21,1035.01,0,2,0,61457,15-09-2023 00:00,
2,109,22,704,0,2,0,936200,15-09-2023 00:00,
2,109,23,448,0,2,0,936201,15-09-2023 00:00,
2,109,24,0,0,2,0,957040,15-09-2023 00:00,
2,109,25,0,0,2,0,957041,15-09-2023 00:00,
2,109,27,0,0,2,0,957042,15-09-2023 00:00,
2,109,33,500,0,2,0,931008,15-09-2023 00:00,
2,109,34,0,0,2,0,957043,15-09-2023 00:00,
2,109,35,0,0,2,0,957044,15-09-2023 00:00,
2,109,37,0,0,2,0,957045,15-09-2023 00:00,
2,109,39,0,0,2,0,957046,15-09-2023 00:00,
2,109,41,0,0,2,0,957047,15-09-2023 00:00,
2,109,44,0,0,2,0,957048,15-09-2023 00:00,
2,109,46,1000,0,2,zemy,775833,22-07-2023 00:00,
2,109,48,0,0,2,0,957049,15-09-2023 00:00,
2,109,50,0,0,2,0,957051,15-09-2023 00:00,
2,109,51,6400,0,2,0,937701,15-09-2023 00:00,
2,109,52,8000,0,2,0,937700,15-09-2023 00:00,
2,109,62,0,0,2,0,957050,15-09-2023 00:00,
2,109,99,5016.99,0,2,0,937698,15-09-2023 00:00,
2,110,1,7000,0,2,zemy,10,06-08-2022 00:00,
2,110,3,0,0,2,0,957052,15-09-2023 00:00,
2,110,4,30,0,2,0,937905,15-09-2023 00:00,
2,110,5,7000,0,2,0,937906,15-09-2023 00:00,
2,110,8,1500,0,2,zemy,1717,05-08-2022 00:00,
2,110,11,0,0,2,0,957053,15-09-2023 00:00,
2,110,13,0,0,2,0,957054,15-09-2023 00:00,
2,110,15,0,0,2,0,957055,15-09-2023 00:00,
2,110,17,0,0,2,0,957056,15-09-2023 00:00,
2,110,18,1000,0,2,zemy,787247,06-08-2022 00:00,
2,110,21,1185.01,0,2,0,61483,15-09-2023 00:00,
2,110,22,770,0,2,0,540942,15-09-2023 00:00,
2,110,23,490,0,2,0,540943,15-09-2023 00:00,
2,110,24,0,0,2,0,957057,15-09-2023 00:00,
2,110,25,0,0,2,0,957058,15-09-2023 00:00,
2,110,27,0,0,2,0,957059,15-09-2023 00:00,
2,110,33,500,0,2,0,868253,15-09-2023 00:00,
2,110,34,0,0,2,0,957060,15-09-2023 00:00,
2,110,35,0,0,2,0,957061,15-09-2023 00:00,
2,110,37,0,0,2,0,957062,15-09-2023 00:00,
2,110,39,0,0,2,0,957063,15-09-2023 00:00,
2,110,41,0,0,2,0,957064,15-09-2023 00:00,
