LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
129,33,385,0,0,1/1/1900 0:00
129,34,9630,0,0,7/7/2014 0:00
129,36,331.26,0,0,7/7/2014 0:00
135,27,2863.12,0,0,7/7/2014 0:00
135,33,129,0,0,1/1/1900 0:00
135,36,333.75,0,0,1/1/1900 0:00
141,27,2225.62,0,0,7/7/2014 0:00
141,33,100,0,0,1/1/1900 0:00
141,34,19456,0,0,7/7/2014 0:00
141,35,60,0,0,1/1/1900 0:00
141,49,100,0,0,1/1/1900 0:00
141,100,50,0,0,1/1/1900 0:00
141,101,50,0,0,1/1/1900 0:00
143,27,928.12,0,0,7/7/2014 0:00
143,33,532,0,0,1/1/1900 0:00
143,34,9240,840,9240,7/7/2014 0:00
143,35,388.75,0,0,1/1/1900 0:00
143,36,518.75,0,0,1/1/1900 0:00
143,49,105,0,0,1/1/1900 0:00
143,100,100,0,0,1/1/1900 0:00
145,27,770.62,0,0,7/7/2014 0:00
145,33,129,0,0,1/1/1900 0:00
145,34,4660,0,0,7/7/2014 0:00
145,35,60,0,0,1/1/1900 0:00
145,36,341.25,0,0,7/7/2014 0:00
146,27,928.12,0,0,7/7/2014 0:00
146,33,100,0,0,1/1/1900 0:00
146,34,14380,1307.27,14380,7/7/2014 0:00
146,35,1203.5,0,0,1/1/1900 0:00
146,36,351,0,0,7/7/2014 0:00
146,49,105,0,0,1/1/1900 0:00
146,100,50,0,0,1/1/1900 0:00
147,27,630,0,0,7/7/2014 0:00
147,33,100,0,0,1/1/1900 0:00
147,34,5198,0,0,7/7/2014 0:00
147,35,316,0,0,1/1/1900 0:00
147,36,351,0,0,1/1/1900 0:00
147,100,50,0,0,1/1/1900 0:00
150,27,506.25,0,0,7/7/2014 0:00
150,33,100,0,0,1/1/1900 0:00
150,34,1798.33,0,0,7/7/2014 0:00
150,35,50,0,0,1/1/1900 0:00
150,49,105,0,0,1/1/1900 0:00
150,100,30,0,0,1/1/1900 0:00
150,101,20,0,0,1/1/1900 0:00
155,27,1164.37,0,0,7/7/2014 0:00
155,33,413.75,0,0,1/1/1900 0:00
155,34,8400,0,0,7/7/2014 0:00
155,35,200,0,0,1/1/1900 0:00
155,100,30,0,0,1/1/1900 0:00
166,27,4927.5,0,0,7/7/2014 0:00
166,33,2623.5,0,0,1/1/1900 0:00
166,34,31190,0,0,7/7/2014 0:00
166,35,642,0,0,1/1/1900 0:00
166,36,633.75,0,0,1/1/1900 0:00
166,49,105,0,0,1/1/1900 0:00
166,100,100,0,0,1/1/1900 0:00
176,27,675,0,0,7/7/2014 0:00
176,33,769.24,0,0,1/1/1900 0:00
176,34,3600,0,0,7/7/2014 0:00
176,35,40,0,0,1/1/1900 0:00
182,27,1164.37,0,0,7/7/2014 0:00
182,33,100,0,0,1/1/1900 0:00
182,34,10500,954.55,10500,7/7/2014 0:00
182,35,456.05,0,0,1/1/1900 0:00
182,36,351,0,0,1/1/1900 0:00
182,49,105,0,0,1/1/1900 0:00
182,100,30,0,0,1/1/1900 0:00
183,27,2341.87,0,0,7/7/2014 0:00
183,33,750,0,0,1/1/1900 0:00
183,34,37740,3430.91,37740,7/7/2014 0:00
183,35,100,0,0,1/1/1900 0:00
183,36,351,0,0,7/7/2014 0:00
183,49,80,0,0,1/1/1900 0:00
183,100,100,0,0,1/1/1900 0:00
184,27,770.62,0,0,7/7/2014 0:00
184,33,122.5,0,0,1/1/1900 0:00
184,34,4950,0,0,7/7/2014 0:00
184,35,40,0,0,1/1/1900 0:00
184,36,129,0,0,7/7/2014 0:00
186,27,545.62,0,0,7/7/2014 0:00
186,33,100,0,0,1/1/1900 0:00
186,34,4316,0,0,7/7/2014 0:00
186,36,333.75,0,0,1/1/1900 0:00
186,100,50,0,0,1/1/1900 0:00
188,27,586.87,0,0,7/7/2014 0:00
188,33,192.5,0,0,1/1/1900 0:00
188,34,2310,0,0,7/7/2014 0:00
188,35,1352.65,0,0,1/1/1900 0:00
188,36,341.25,0,0,1/1/1900 0:00
188,100,20,0,0,1/1/1900 0:00
189,27,545.62,0,0,7/7/2014 0:00
189,33,84,0,0,1/1/1900 0:00
189,34,4110,0,0,7/7/2014 0:00
189,35,40,0,0,1/1/1900 0:00
189,100,20,0,0,1/1/1900 0:00
197,27,2587.5,0,0,7/7/2014 0:00
197,34,7640,0,0,7/7/2014 0:00
197,35,100,0,0,1/1/1900 0:00
197,36,353.75,0,0,1/1/1900 0:00
198,27,928.12,0,0,7/7/2014 0:00
198,33,100,0,0,1/1/1900 0:00
198,34,8800,800,8800,7/7/2014 0:00
198,35,295,0,0,1/1/1900 0:00
198,36,292.5,0,0,1/1/1900 0:00
198,49,120,0,0,1/1/1900 0:00
198,100,60,0,0,1/1/1900 0:00
199,27,1910.62,0,0,7/7/2014 0:00
199,33,100,0,0,1/1/1900 0:00
199,34,15590,1417.27,15590,7/7/2014 0:00
199,35,1856.25,0,0,1/1/1900 0:00
199,36,351,0,0,1/1/1900 0:00
199,49,100,0,0,1/1/1900 0:00
199,100,50,0,0,1/1/1900 0:00
200,27,721.87,0,0,7/7/2014 0:00
200,33,69,0,0,1/1/1900 0:00
200,34,5560,0,0,7/7/2014 0:00
200,35,40,0,0,1/1/1900 0:00
200,36,341.25,0,0,7/7/2014 0:00
200,49,100,0,0,1/1/1900 0:00
200,100,20,0,0,1/1/1900 0:00
201,27,1910.62,0,0,7/7/2014 0:00
201,33,100,0,0,1/1/1900 0:00
201,34,18530,1684.55,18530,7/7/2014 0:00
201,35,827.5,0,0,1/1/1900 0:00
201,36,277,0,0,1/1/1900 0:00
201,49,80,0,0,1/1/1900 0:00
201,100,150,0,0,1/1/1900 0:00
213,27,821.25,0,0,7/7/2014 0:00
213,33,100,0,0,1/1/1900 0:00
213,34,7630,693.64,7630,7/7/2014 0:00
213,35,376,0,0,1/1/1900 0:00
213,36,351,0,0,1/1/1900 0:00
213,49,480,0,0,1/1/1900 0:00
213,100,150,0,0,1/1/1900 0:00
213,101,100,0,0,1/1/1900 0:00
221,27,770.67,0,0,7/7/2014 0:00
221,33,208,0,0,1/1/1900 0:00
221,34,6210,0,0,7/7/2014 0:00
222,27,630,0,0,7/7/2014 0:00
222,33,305,0,0,1/1/1900 0:00
222,34,8800,800,8800,7/7/2014 0:00
222,35,376,0,0,1/1/1900 0:00
222,36,351,0,0,7/7/2014 0:00
222,49,105,0,0,1/1/1900 0:00
222,100,30,0,0,1/1/1900 0:00
223,27,1293.75,0,0,7/7/2014 0:00
223,33,258,0,0,1/1/1900 0:00
223,34,7640,0,0,7/7/2014 0:00
223,35,40,0,0,1/1/1900 0:00
223,36,353.75,0,0,7/7/2014 0:00
224,27,399.37,0,0,7/7/2014 0:00
224,33,100,0,0,1/1/1900 0:00
224,34,3130,0,0,1/1/1900 0:00
225,27,2587.5,0,0,7/7/2014 0:00
225,33,6301.66,0,0,1/1/1900 0:00
225,34,7640,0,0,7/7/2014 0:00
226,27,1816.87,0,0,7/7/2014 0:00
226,33,7030,0,0,1/1/1900 0:00
226,34,21290,0,0,7/7/2014 0:00
226,35,50,0,0,1/1/1900 0:00
226,36,298.75,0,0,1/1/1900 0:00
226,49,80,0,0,1/1/1900 0:00
236,27,1293.75,0,0,7/7/2014 0:00
236,33,462,0,0,7/7/2014 0:00
236,34,9630,0,0,7/7/2014 0:00
236,35,40,0,0,1/1/1900 0:00
236,100,40,0,0,1/1/1900 0:00
239,27,928.17,0,0,7/7/2014 0:00
239,33,6000,1000,3000,1/1/1900 0:00
239,34,23280,2116.36,23280,7/7/2014 0:00
239,35,827.5,0,0,1/1/1900 0:00
239,36,351,0,0,7/7/2014 0:00
239,49,120,0,0,1/1/1900 0:00
239,100,100,0,0,1/1/1900 0:00
239,101,50,0,0,1/1/1900 0:00
242,27,1164.37,0,0,7/7/2014 0:00
242,33,75,0,0,1/1/1900 0:00
242,34,10060,0,0,7/7/2014 0:00
242,35,100,0,0,1/1/1900 0:00
242,36,351,0,0,1/1/1900 0:00
242,49,120,0,0,1/1/1900 0:00
242,100,100,0,0,1/1/1900 0:00
242,101,50,0,0,1/1/1900 0:00
243,27,630,0,0,7/7/2014 0:00
243,33,64.49,0,0,1/1/1900 0:00
243,34,3360,0,0,7/7/2014 0:00
253,27,545.62,0,0,7/7/2014 0:00
253,33,372,0,0,1/1/1900 0:00
253,34,4660,0,0,7/7/2014 0:00
253,36,298.75,0,0,7/7/2014 0:00
253,49,105,0,0,1/1/1900 0:00
253,100,120,0,0,1/1/1900 0:00
255,27,1293.75,0,0,7/7/2014 0:00
255,34,7640,0,0,7/7/2014 0:00
255,35,100,0,0,1/1/1900 0:00
255,36,341.25,0,0,7/7/2014 0:00
255,49,100,0,0,1/1/1900 0:00
257,27,1293.75,0,0,7/7/2014 0:00
257,34,7640,0,0,7/7/2014 0:00
257,35,353.75,0,0,1/1/1900 0:00
257,36,962.5,0,0,7/7/2014 0:00
257,49,100,0,0,1/1/1900 0:00
258,27,506.25,0,0,7/7/2014 0:00
258,33,100,0,0,1/1/1900 0:00
258,34,4892,0,0,7/7/2014 0:00
258,35,399.75,0,0,1/1/1900 0:00
258,36,351,0,0,1/1/1900 0:00
258,49,105,0,0,1/1/1900 0:00
258,100,50,0,0,1/1/1900 0:00
277,27,770.62,0,0,7/7/2014 0:00
277,34,6210,0,0,7/7/2014 0:00
281,27,433.17,0,0,7/7/2014 0:00
281,33,100,0,0,1/1/1900 0:00
281,34,10500,954.55,10500,7/7/2014 0:00
281,35,316,0,0,1/1/1900 0:00
281,36,351,0,0,1/1/1900 0:00
281,49,360,0,0,1/1/1900 0:00
281,100,50,0,0,1/1/1900 0:00
281,101,50,0,0,1/1/1900 0:00
285,27,4927.5,0,0,7/7/2014 0:00
286,27,468.75,0,0,7/7/2014 0:00
286,33,120,0,0,1/1/1900 0:00
286,34,2475,0,0,7/7/2014 0:00
286,35,200,0,0,1/1/1900 0:00
286,36,277,0,0,1/1/1900 0:00
286,49,120,0,0,1/1/1900 0:00
286,100,50,0,0,1/1/1900 0:00
286,101,50,0,0,1/1/1900 0:00
288,27,630,0,0,7/7/2014 0:00
288,34,3850,0,0,7/7/2014 0:00
288,35,50,0,0,1/1/1900 0:00
288,36,341.25,0,0,1/1/1900 0:00
294,27,433.12,0,0,7/7/2014 0:00
294,33,100,0,0,1/1/1900 0:00
294,34,4950,450,4950,7/7/2014 0:00
294,35,388,0,0,1/1/1900 0:00
294,36,351,0,0,1/1/1900 0:00
294,49,105,0,0,1/1/1900 0:00
294,100,30,0,0,1/1/1900 0:00
300,27,1293.75,0,0,7/7/2014 0:00
300,34,23280,2116.36,23280,1/1/1900 0:00
300,49,50,0,0,1/1/1900 0:00
300,100,50,0,0,1/1/1900 0:00
306,27,545.62,0,0,7/7/2014 0:00
306,34,2910,0,0,7/7/2014 0:00
307,27,586.87,0,0,7/7/2014 0:00
307,33,100,0,0,1/1/1900 0:00
307,34,6550,0,0,7/7/2014 0:00
307,35,295,0,0,1/1/1900 0:00
307,36,351,0,0,1/1/1900 0:00
307,49,120,0,0,1/1/1900 0:00
307,100,100,0,0,1/1/1900 0:00
308,27,545.62,0,0,7/7/2014 0:00
308,33,100,0,0,1/1/1900 0:00
